Provincia,Sector,Periodo,Total
Castellón/Castelló,Industria,2024T3,22.1
Castellón/Castelló,Construcción,2024T3,5.8
Castellón/Castelló,Servicios,2024T3,64.5
Ciudad Real,Agricultura,2024T3,6.6
Ciudad Real,Industria,2024T3,13.7
Ciudad Real,Construcción,2024T3,7.7
Ciudad Real,Servicios,2024T3,63.4
Córdoba,Agricultura,2024T3,9.9
Córdoba,Industria,2024T3,
Córdoba,Construcción,2024T3,6.7
Córdoba,Servicios,2024T3,66.2
"Coruña, A",Agricultura,2024T3,5.1
"Coruña, A",Industria,2024T3,13.7
"Coruña, A",Construcción,2024T3,7.1
"Coruña, A",Servicios,2024T3,70.1
Cuenca,Agricultura,2024T3,9.5
Cuenca,Industria,2024T3,18.6
Cuenca,Construcción,2024T3,8.5
Cuenca,Servicios,2024T3,60.3
Gipuzkoa,Agricultura,2024T3,1.4
Gipuzkoa,Industria,2024T3,24.1
Gipuzkoa,Construcción,2024T3,3.4
Gipuzkoa,Servicios,2024T3,68.9
Girona,Agricultura,2024T3,2.3
Girona,Industria,2024T3,16.7
Girona,Construcción,2024T3,6.2
Girona,Servicios,2024T3,70.8
Granada,Agricultura,2024T3,
Granada,Industria,2024T3,
Granada,Construcción,2024T3,
Granada,Servicios,2024T3,67.9
Guadalajara,Agricultura,2024T3,0.7
Guadalajara,Industria,2024T3,12.5
Guadalajara,Construcción,2024T3,7.2
Guadalajara,Servicios,2024T3,75.2
Huelva,Agricultura,2024T3,11.5
Huelva,Industria,2024T3,9.7
Huelva,Construcción,2024T3,5.6
Huelva,Servicios,2024T3,67.7
Huesca,Agricultura,2024T3,17.4
Huesca,Industria,2024T3,
Huesca,Construcción,2024T3,8.3
Huesca,Servicios,2024T3,58.9
Jaén,Agricultura,2024T3,12.7
Jaén,Industria,2024T3,10.9
Jaén,Construcción,2024T3,5.7
Jaén,Servicios,2024T3,
León,Agricultura,2024T3,3.7
León,Industria,2024T3,
León,Construcción,2024T3,6.4
León,Servicios,2024T3,71.4
Lleida,Agricultura,2024T3,6.2
Lleida,Industria,2024T3,15.6
Lleida,Construcción,2024T3,8.4
Lleida,Servicios,2024T3,65.2
Lugo,Agricultura,2024T3,13.3
Lugo,Industria,2024T3,
Lugo,Construcción,2024T3,6.3
Lugo,Servicios,2024T3,63.1
Madrid,Agricultura,2024T3,0.3
Madrid,Industria,2024T3,8.4
Madrid,Construcción,2024T3,6.1
Madrid,Servicios,2024T3,80.8
Málaga,Agricultura,2024T3,2.9
Málaga,Industria,2024T3,4.8
Málaga,Construcción,2024T3,8.6
Málaga,Servicios,2024T3,78.1
Murcia,Agricultura,2024T3,
Murcia,Industria,2024T3,11.3
Murcia,Construcción,2024T3,
Murcia,Servicios,2024T3,66.6
Navarra,Agricultura,2024T3,3.4
Navarra,Industria,2024T3,
Navarra,Construcción,2024T3,4.6
Navarra,Servicios,2024T3,62.1
Ourense,Agricultura,2024T3,5.5
Ourense,Industria,2024T3,14.6
Ourense,Construcción,2024T3,7.8
Ourense,Servicios,2024T3,66.8
Palencia,Agricultura,2024T3,
Palencia,Industria,2024T3,18.6
Palencia,Construcción,2024T3,5.9
Palencia,Servicios,2024T3,69.6
"Palmas, Las",Agricultura,2024T3,2.1
"Palmas, Las",Industria,2024T3,3.8
"Palmas, Las",Construcción,2024T3,7.4
"Palmas, Las",Servicios,2024T3,
Pontevedra,Agricultura,2024T3,5.2
Pontevedra,Industria,2024T3,18.4
Pontevedra,Construcción,2024T3,6.4
Pontevedra,Servicios,2024T3,64.8
"Rioja, La",Agricultura,2024T3,6.9
"Rioja, La",Industria,2024T3,26.4
"Rioja, La",Construcción,2024T3,
"Rioja, La",Servicios,2024T3,56.6
Salamanca,Agricultura,2024T3,4.8
Salamanca,Industria,2024T3,9.4
Salamanca,Construcción,2024T3,6.3
Salamanca,Servicios,2024T3,72.9
Santa Cruz de Tenerife,Agricultura,2024T3,2.4
Santa Cruz de Tenerife,Industria,2024T3,
Santa Cruz de Tenerife,Construcción,2024T3,6.3
Santa Cruz de Tenerife,Servicios,2024T3,80.1
Segovia,Agricultura,2024T3,10.8
Segovia,Industria,2024T3,15.7
Segovia,Construcción,2024T3,7.6
Segovia,Servicios,2024T3,64.5
Sevilla,Agricultura,2024T3,4.2
Sevilla,Industria,2024T3,10.7
Sevilla,Construcción,2024T3,5.4
Sevilla,Servicios,2024T3,73.1
Soria,Agricultura,2024T3,11.4
Soria,Industria,2024T3,18.5
Soria,Construcción,2024T3,6.4
Soria,Servicios,2024T3,61.1
Tarragona,Agricultura,2024T3,3.6
Tarragona,Industria,2024T3,17.7
Tarragona,Construcción,2024T3,5.7
Tarragona,Servicios,2024T3,67.7
Teruel,Agricultura,2024T3,8.3
Teruel,Industria,2024T3,18.2
Teruel,Construcción,2024T3,9.6
Teruel,Servicios,2024T3,60.7
Toledo,Agricultura,2024T3,3.3
Toledo,Industria,2024T3,14.9
Toledo,Construcción,2024T3,9.9
Toledo,Servicios,2024T3,65.1
Valencia/València,Agricultura,2024T3,1.3
Valencia/València,Industria,2024T3,15.5
Valencia/València,Construcción,2024T3,6.4
Valencia/València,Servicios,2024T3,71.4
Valladolid,Agricultura,2024T3,4.9
Valladolid,Industria,2024T3,17.7
Valladolid,Construcción,2024T3,
Valladolid,Servicios,2024T3,69.2
Zamora,Agricultura,2024T3,12.3
Zamora,Industria,2024T3,12.1
Zamora,Construcción,2024T3,7.6
Zamora,Servicios,2024T3,60.5
Zaragoza,Agricultura,2024T3,2.6
Zaragoza,Industria,2024T3,18.7
Zaragoza,Construcción,2024T3,
Zaragoza,Servicios,2024T3,69.2
Ceuta,Agricultura,2024T3,
Ceuta,Industria,2024T3,2.3
Ceuta,Construcción,2024T3,5.4
Ceuta,Servicios,2024T3,70.3
Melilla,Agricultura,2024T3,0.2
Melilla,Industria,2024T3,2.3
Melilla,Construcción,2024T3,4.6
Melilla,Servicios,2024T3,76.2
